Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,2414505,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Blinding Lights,The Weeknd,1247926,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,La Difícil,Bad Bunny,1246286,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,Si Veo a Tu Mamá,Bad Bunny,1246255,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
5,Say So,Doja Cat,1242765,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,Intentions (feat. Quavo),Justin Bieber,1196727,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,Life Is Good (feat. Drake),Future,1174891,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
8,Stupid Love,Lady Gaga,1163635,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
9,Blueberry Faygo,Lil Mosey,1149458,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
10,Ignorantes,Bad Bunny,1136259,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
11,La Santa,Bad Bunny,1119458,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
12,ROXANNE,Arizona Zervas,1097158,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Heatin Up (feat. Gunna),Lil Baby,1057715,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
14,Pero Ya No,Bad Bunny,1042003,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
15,Don't Start Now,Dua Lipa,1011239,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,High Fashion (feat. Mustard),Roddy Ricch,1002143,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
17,Vete,Bad Bunny,989717,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
18,Yo Perreo Sola,Bad Bunny,926127,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,Falling,Trevor Daniel,898772,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
20,Circles,Post Malone,893280,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,Woah,Lil Baby,878407,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
22,Bichiyal,Bad Bunny,878035,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
23,Soliá,Bad Bunny,852194,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
24,WHATS POPPIN,Jack Harlow,848546,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
25,Live Off My Closet (feat. Future),Lil Baby,840035,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
26,Dance Monkey,Tones and I,837958,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
